track_id,track_name,artist_name,publisher_name,bundle_id,genre,app_version,price,initial_release_date,latest_release_date,avg_user_rating,rating_count,app_url,file_size_bytes,content_rating,availability,first_name,last_name,country,offer_date,savings,offer_details,app_info,service_info
"1271717438","Loco Looper","James Vanas","James Vanas","com.jamesvanas.LocoLooper","Games","1.0.8","$4.99","2022-06-17T07:00:00Z","2023-04-06T03:04:32Z","4.7037","108","https://apps.apple.com/us/app/loco-looper/id1271717438?uo=4","70824960","4+","1","James","Vanas","New Zealand","2022-12-17","5","APP DISCOUNT","",""
"1477944755","Health Export CSV","Tomas Parizek","Tomas Parizek","cz.tomasparizek.HealthExport","Health & Fitness","3.6.2","$2.99","2019-09-19T07:00:00Z","2025-06-25T09:30:04Z","4.48718","117","https://apps.apple.com/us/app/health-export-csv/id1477944755?uo=4","33929216","4+","1","Tomáš","Pařízek","Czech Republic","2022-12-16","2.99","FREE","Healthexportapp","Twitter"
"1512195368","MusicSmart - Liner Notes","Loop Apps LTDA","Loop Apps LTDA","br.com.marcosatanaka.musicwhiz","Music","2.1.6","Free","2020-05-18T07:00:00Z","2025-07-02T20:13:42Z","4.31224","253","https://apps.apple.com/us/app/musicsmart-liner-notes/id1512195368?uo=4","31538176","4+","1","Marcos","Tanaka","Brazil","2022-12-19","3.99","FREE","MusicSmartApp","Twitter"
"1574776971","Pestle: Recipe Manager","Will Bishop","Will Bishop","com.willbishop.Simmer","Food & Drink","2.1.9","Free","2022-01-20T08:00:00Z","2025-07-26T12:20:36Z","4.73825","1383","https://apps.apple.com/us/app/pestle-recipe-manager/id1574776971?uo=4","100240384","17+","1","Will","Bishop","Australia","2022-12-20","18","SUBSCRIPTION DISCOUNT","Pestlechef","Twitter"
"1090744587","Quick Notes - Email Me","Manuel Escrig Ventura","Manuel Escrig Ventura","ventura.media.EmailMe","Productivity","6.11","Free","2016-11-29T07:50:37Z","2025-08-01T13:32:39Z","4.84091","572","https://apps.apple.com/us/app/quick-notes-email-me/id1090744587?uo=4","56316928","12+","1","Manuel","Escrig","Spain","2022-12-22","40","APP DISCOUNT","EmailMeApp","Twitter"
"1492055171","Expenses: Spending Tracker","BLUE COMET LABS LLC","BLUE COMET LABS LLC","com.pixyzehn.Expenses","Finance","3.7.32","Free","2020-05-15T07:00:00Z","2025-07-31T15:24:17Z","4.7909","1363","https://apps.apple.com/us/app/expenses-spending-tracker/id1492055171?uo=4","63917056","4+","1","Hiroki","Nagasawa","Japan","2022-12-24","8.99","FREE","Expensesapp","Twitter"
"1542511377","Konsensus: Movies & TV Tracker","Saffet Emin Reisoglu","Saffet Emin Reisoglu","com.sereisoglu.konsensus","Entertainment","1.13.1","Free","2021-07-15T07:00:00Z","2025-07-28T20:26:32Z","4.82569","109","https://apps.apple.com/us/app/konsensus-movies-tv-tracker/id1542511377?uo=4","41134080","12+","1","Saffet Emin","Reisoğlu","Turkey","2022-12-23","","DISCOUNT","Konsensusapp","Twitter"
"1622980363","Luana: Motivation & Journal","Cranberry Apps","Cranberry Apps GmbH & Co. KG","com.stefanliesendahl.luana","Health & Fitness","1.1.0","Free","2022-10-27T07:00:00Z","2024-09-03T20:43:32Z","4.92307","13","https://apps.apple.com/us/app/luana-motivation-journal/id1622980363?uo=4","102809600","4+","1","Stefan","Liesendahl","Germany","2022-12-25","35","APP DISCOUNT","Luana_app","Twitter"
"1591348188","Frantic Fall","Vikas Pawar","Vikas Pawar","com.vikaspawar.trickyfall","Games","8","$2.99","2022-01-10T08:00:00Z","2025-03-30T10:53:01Z","4.8148","27","https://apps.apple.com/us/app/frantic-fall/id1591348188?uo=4","47825920","4+","1","Vikas","Pawarux","Singapore","2022-12-26","1","APP DISCOUNT","",""
"653031147","Water Tracker by WaterMinder®","Funn Media, LLC","Funn Media, LLC","com.waterminder.waterminder","Health & Fitness","6.10.4","Free","2013-07-19T03:24:31Z","2025-07-25T08:12:22Z","4.75661","31522","https://apps.apple.com/us/app/water-tracker-by-waterminder/id653031147?uo=4","277281792","4+","1","Kriss","Smolka","United States","2022-12-29","20","APP DISCOUNT","WaterMinder_app","Twitter"
"1531983371","Activity Tracker・FitnessView","Funn Media, LLC","Funn Media, LLC","com.funnmedia.fitnessview","Health & Fitness","2.6.13","Free","2021-07-14T07:00:00Z","2025-06-05T23:49:27Z","4.63034","6322","https://apps.apple.com/us/app/activity-tracker-fitnessview/id1531983371?uo=4","200255488","4+","1","Kriss","Smolka","United States","2022-12-30","25","APP DISCOUNT","",""
